category,simliary_1,simliary_2,simliary_3,simliary_4
Basketball,Camping / Hiking,Hunting,accessories,tools
Cycling,Hunting,accessories,tools,Camping / Hiking
Hunting,watches,apparel,makeup,necklaces
jeans,Hunting,watches,accessories,tools
Select,Fitness,Hunting,Outdoor,Camping / Hiking
watches,apparel,makeup,Hunting,tools
skincare,watches,Hunting,accessories,tools
footwear,Camping / Hiking,Hunting,accessories,tools
heels,Camping / Hiking,Hunting,accessories,tools
Electronics,accessories,Hunting,tools,Camping / Hiking
Soccer,Camping / Hiking,Hunting,accessories,tools
backpacks,Hunting,Camping / Hiking,tools,accessories
tools,apparel,watches,Hunting,accessories
necklaces,grooming,Hunting,tools,accessories
Football,Hunting,watches,accessories,tools
rings,haircare,Hunting,accessories,tools
swimwear,Camping / Hiking,Hunting,accessories,tools
lounge,Camping / Hiking,Hunting,accessories,tools
sneakers,Hunting,accessories,tools,Camping / Hiking
fragrance,watches,Hunting,accessories,tools
earrings,Hunting,accessories,tools,Camping / Hiking
sweaters,Hunting,accessories,tools,Camping / Hiking
dresses,Outdoor,tools,accessories,Camping / Hiking
haircare,watches,Hunting,accessories,tools
designer,haircare,accessories,Hunting,tools
makeup,watches,apparel,Hunting,accessories
Camping / Hiking,Hunting,Football,accessories,tools
accessories,apparel,makeup,Hunting,tools
boots,Camping / Hiking,Hunting,accessories,tools
bracelets,Camping / Hiking,Hunting,accessories,tools
Fitness,Apparel,Football,Hunting,Camping / Hiking
Apparel,Hunting,Football,accessories,tools
Boxing / MMA,Camping / Hiking,Hunting,accessories,tools
shoulder,haircare,Hunting,tools,accessories
totes,haircare,Hunting,accessories,tools
Golf,accessories,Hunting,tools,Camping / Hiking
crossbody,haircare,accessories,Hunting,tools
activewear,Camping / Hiking,Hunting,tools,accessories
lingerie,grooming,Hunting,tools,accessories
Fishing,Camping / Hiking,Hunting,accessories,tools
apparel,watches,makeup,Hunting,accessories
flats,Camping / Hiking,Hunting,accessories,tools
grooming,watches,Hunting,accessories,tools
skirts,Camping / Hiking,Hunting,accessories,tools
Footwear,Hunting,accessories,tools,Camping / Hiking
